game_point_id,game_id,game,round,phase,season_code,number_of_play,team,player_id,player,action_id,action,points,coord_x,coord_y,zone,fastbreak,second_chance,points_off_turnover,minute,console,points_a,points_b,timestamp
2007_001_002,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,2,BAS,PCBX,PRIGIONI_ PABLO,3FGM,Three Pointer,3,515,479,G,None,None,None,1,09:00,0,3,1970-01-01
2007_001_004,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,4,OLY,PTFV,WOODS_ QYNTEL,2FGA,Missed Two Pointer,0,-2,451,I,None,None,None,1,09:00,0,3,1970-01-01
2007_001_008,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,8,OLY,PCBV,MACIJAUSKAS_ ARVYDAS,2FGM,Two Pointer,2,-33,17,D,None,None,None,1,09:00,2,3,1970-01-01
2007_001_010,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,10,BAS,PCBY,SPLITTER_ TIAGO,2FGM,Two Pointer,2,17,33,C,None,None,None,2,08:00,2,5,1970-01-01
2007_001_012,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,12,OLY,P000126,JACKSON_ MARC,2FGA,Missed Two Pointer,0,43,76,C,None,None,None,2,08:00,2,5,1970-01-01
2007_001_014,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,14,BAS,PANB,RAKOCEVIC_ IGOR,2FGA,Missed Two Pointer,0,-5,12,D,None,None,None,2,08:00,2,5,1970-01-01
2007_001_016,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,16,OLY,P000126,JACKSON_ MARC,2FGAB,Missed Two Pointer,0,-17,41,D,None,None,None,2,08:00,2,5,1970-01-01
2007_001_022,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,22,OLY,PCBV,MACIJAUSKAS_ ARVYDAS,2FGM,Two Pointer,2,-5,48,D,None,None,None,2,08:00,4,5,1970-01-01
2007_001_025,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,25,BAS,PCBX,PRIGIONI_ PABLO,3FGA,Missed Three Pointer,0,10,676,G,None,None,None,3,07:00,4,5,1970-01-01
2007_001_027,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,27,OLY,P000126,JACKSON_ MARC,2FGM,Two Pointer,2,15,61,C,None,None,None,3,07:00,6,5,1970-01-01
2007_001_032,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,32,OLY,PAQU,BOUROUSIS_ IOANNIS,2FGA,Missed Two Pointer,0,-397,212,E,None,None,None,4,06:00,6,5,1970-01-01
2007_001_034,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,34,OLY,PCRR,GREER_ LYNN TERENCE,3FGA,Missed Three Pointer,0,-43,689,J,None,None,None,4,06:00,6,5,1970-01-01
2007_001_035,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,35,BAS,PANB,RAKOCEVIC_ IGOR,3FGM,Three Pointer,3,592,323,A,None,None,None,4,06:00,6,8,1970-01-01
2007_001_036,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,36,OLY,PCBV,MACIJAUSKAS_ ARVYDAS,2FGA,Missed Two Pointer,0,-17,469,I,None,None,None,4,06:00,6,8,1970-01-01
2007_001_038,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,38,OLY,PTFV,WOODS_ QYNTEL,3FGA,Missed Three Pointer,0,471,533,G,None,None,None,4,06:00,6,8,1970-01-01
2007_001_045,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,45,OLY,PCBV,MACIJAUSKAS_ ARVYDAS,2FGM,Two Pointer,2,-402,189,E,None,None,None,5,05:00,8,8,1970-01-01
2007_001_048,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,48,BAS,PANB,RAKOCEVIC_ IGOR,2FGA,Missed Two Pointer,0,-294,264,E,None,None,None,5,05:00,8,8,1970-01-01
2007_001_050,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,50,OLY,PCRR,GREER_ LYNN TERENCE,2FGA,Missed Two Pointer,0,302,289,B,None,None,None,5,05:00,8,8,1970-01-01
2007_001_051,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,51,BAS,PJZJ,TELETOVIC_ MIRZA,3FGM,Three Pointer,3,-551,423,F,None,None,None,5,05:00,8,11,1970-01-01
2007_001_053,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,53,OLY,PTFV,WOODS_ QYNTEL,3FGM,Three Pointer,3,17,669,G,None,None,None,5,05:00,11,11,1970-01-01
2007_001_056,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,56,BAS,PJZJ,TELETOVIC_ MIRZA,2FGA,Missed Two Pointer,0,0,479,I,None,None,None,6,04:00,11,11,1970-01-01
2007_001_058,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,58,BAS,PCBY,SPLITTER_ TIAGO,2FGAB,Missed Two Pointer,0,38,41,C,None,None,None,6,04:00,11,11,1970-01-01
2007_001_061,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,61,BAS,PJWO,MICKEAL_ PETE,3FGA,Missed Three Pointer,0,-479,482,J,None,None,None,6,04:00,11,11,1970-01-01
2007_001_063,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,63,BAS,PCBY,SPLITTER_ TIAGO,2FGM,Two Pointer,2,-10,456,I,None,None,None,6,04:00,11,13,1970-01-01
2007_001_065,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,65,OLY,PCRR,GREER_ LYNN TERENCE,2FGM,Two Pointer,2,353,207,B,None,None,None,6,04:00,13,13,1970-01-01
2007_001_066,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,66,BAS,PJZJ,TELETOVIC_ MIRZA,3FGA,Missed Three Pointer,0,628,276,A,None,None,None,6,04:00,13,13,1970-01-01
2007_001_072,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,72,OLY,PCBV,MACIJAUSKAS_ ARVYDAS,2FGA,Missed Two Pointer,0,-402,46,E,None,None,None,7,03:00,13,13,1970-01-01
2007_001_075,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,75,BAS,PJZJ,TELETOVIC_ MIRZA,2FGA,Missed Two Pointer,0,38,35,C,None,None,None,7,03:00,13,13,1970-01-01
2007_001_076,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,76,BAS,PJZJ,TELETOVIC_ MIRZA,2FGAB,Missed Two Pointer,0,41,23,C,None,None,None,7,03:00,13,13,1970-01-01
2007_001_079,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,79,BAS,PANB,RAKOCEVIC_ IGOR,2FGA,Missed Two Pointer,0,-2,28,D,None,None,None,7,03:00,13,13,1970-01-01
2007_001_081,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,81,BAS,PJZJ,TELETOVIC_ MIRZA,2FGA,Missed Two Pointer,0,20,41,C,None,None,None,7,03:00,13,13,1970-01-01
2007_001_085,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,85,BAS,PJZJ,TELETOVIC_ MIRZA,2FGA,Missed Two Pointer,0,35,25,C,None,None,None,7,03:00,13,13,1970-01-01
2007_001_086,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,86,BAS,PJWO,MICKEAL_ PETE,2FGA,Missed Two Pointer,0,28,41,C,None,None,None,7,03:00,13,13,1970-01-01
2007_001_098,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,98,OLY,PCBV,MACIJAUSKAS_ ARVYDAS,FTM,Free Throw In,1,-1,-1,,None,None,None,8,02:00,14,13,1970-01-01
2007_001_103,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,103,BAS,PCBY,SPLITTER_ TIAGO,FTM,Free Throw In,1,-1,-1,,None,None,None,8,02:00,14,14,1970-01-01
2007_001_112,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,112,OLY,PCRR,GREER_ LYNN TERENCE,FTM,Free Throw In,1,-1,-1,,None,None,None,8,02:00,15,14,1970-01-01
2007_001_113,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,113,OLY,PCRR,GREER_ LYNN TERENCE,FTM,Free Throw In,1,-1,-1,,None,None,None,8,02:00,16,14,1970-01-01
2007_001_118,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,118,BAS,PJZJ,TELETOVIC_ MIRZA,2FGM,Two Pointer,2,35,38,C,None,None,None,8,02:00,16,16,1970-01-01
2007_001_124,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,124,OLY,PCRR,GREER_ LYNN TERENCE,FTM,Free Throw In,1,-1,-1,,None,None,None,9,01:00,17,16,1970-01-01
2007_001_125,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,125,OLY,PCRR,GREER_ LYNN TERENCE,FTM,Free Throw In,1,-1,-1,,None,None,None,9,01:00,18,16,1970-01-01
2007_001_128,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,128,BAS,PANB,RAKOCEVIC_ IGOR,2FGA,Missed Two Pointer,0,20,7,C,None,None,None,9,01:00,18,16,1970-01-01
2007_001_129,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,129,BAS,PANB,RAKOCEVIC_ IGOR,2FGAB,Missed Two Pointer,0,0,33,D,None,None,None,9,01:00,18,16,1970-01-01
2007_001_133,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,133,OLY,PAQU,BOUROUSIS_ IOANNIS,3FGM,Three Pointer,3,12,679,G,None,None,None,9,01:00,21,16,1970-01-01
2007_001_135,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,135,BAS,PAFP,PLANINIC_ ZORAN,2FGA,Missed Two Pointer,0,25,43,C,None,None,None,9,01:00,21,16,1970-01-01
2007_001_137,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,137,BAS,PCBY,SPLITTER_ TIAGO,2FGM,Two Pointer,2,7,28,C,None,None,None,9,01:00,21,18,1970-01-01
2007_001_139,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,139,OLY,P000126,JACKSON_ MARC,3FGM,Three Pointer,3,10,674,G,None,None,None,10,00:00,24,18,1970-01-01
2007_001_142,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,142,BAS,PAFP,PLANINIC_ ZORAN,2FGM,Two Pointer,2,-141,576,I,None,None,None,10,00:00,24,20,1970-01-01
2007_001_143,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,143,OLY,PCRR,GREER_ LYNN TERENCE,2FGA,Missed Two Pointer,0,5,35,C,None,None,None,10,00:00,24,20,1970-01-01
2007_001_149,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,149,OLY,P000126,JACKSON_ MARC,FTM,Free Throw In,1,-1,-1,,None,None,None,10,00:00,25,20,1970-01-01
2007_001_150,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,150,OLY,P000126,JACKSON_ MARC,FTM,Free Throw In,1,-1,-1,,None,None,None,10,00:00,26,20,1970-01-01
2007_001_155,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,155,BAS,PAFP,PLANINIC_ ZORAN,3FGA,Missed Three Pointer,0,-671,-105,F,None,None,None,10,00:00,26,20,1970-01-01
2007_001_167,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,167,OLY,PCRR,GREER_ LYNN TERENCE,2FGM,Two Pointer,2,-38,30,D,None,None,None,11,09:00,28,20,1970-01-01
2007_001_170,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,170,OLY,P000126,JACKSON_ MARC,2FGA,Missed Two Pointer,0,10,48,C,None,None,None,11,09:00,28,20,1970-01-01
2007_001_177,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,177,BAS,PAFP,PLANINIC_ ZORAN,2FGM,Two Pointer,2,138,143,C,None,None,None,12,08:00,28,22,1970-01-01
2007_001_179,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,179,OLY,P000126,JACKSON_ MARC,2FGA,Missed Two Pointer,0,-5,43,D,None,None,None,12,08:00,28,22,1970-01-01
2007_001_181,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,181,OLY,PCBV,MACIJAUSKAS_ ARVYDAS,3FGA,Missed Three Pointer,0,-623,197,F,None,None,None,12,08:00,28,22,1970-01-01
2007_001_183,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,183,OLY,PAQU,BOUROUSIS_ IOANNIS,2FGM,Two Pointer,2,10,48,C,None,None,None,12,08:00,30,22,1970-01-01
2007_001_187,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,187,OLY,PAQU,BOUROUSIS_ IOANNIS,FTM,Free Throw In,1,-1,-1,,None,None,None,12,08:00,31,22,1970-01-01
2007_001_190,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,190,BAS,PAFP,PLANINIC_ ZORAN,2FGM,Two Pointer,2,5,28,C,None,None,None,12,08:00,31,24,1970-01-01
2007_001_192,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,192,OLY,P000126,JACKSON_ MARC,2FGA,Missed Two Pointer,0,-15,525,I,None,None,None,13,07:00,31,24,1970-01-01
2007_001_196,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,196,OLY,PTFV,WOODS_ QYNTEL,2FGM,Two Pointer,2,-7,33,D,None,None,None,13,07:00,33,24,1970-01-01
2007_001_199,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,199,BAS,PAJK,VIDAL_ SERGI,FTM,Free Throw In,1,-1,-1,,None,None,None,13,07:00,33,25,1970-01-01
2007_001_202,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,202,OLY,PTFV,WOODS_ QYNTEL,3FGM,Three Pointer,3,-628,312,F,None,None,None,13,07:00,36,25,1970-01-01
2007_001_204,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,204,BAS,PJTT,MCDONALD_ WILL,2FGM,Two Pointer,2,0,5,D,None,None,None,13,07:00,36,27,1970-01-01
2007_001_207,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,207,OLY,P000126,JACKSON_ MARC,2FGM,Two Pointer,2,7,61,C,None,None,None,14,06:00,38,27,1970-01-01
2007_001_221,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,221,OLY,P000126,JACKSON_ MARC,FTM,Free Throw In,1,-1,-1,,None,None,None,14,06:00,39,27,1970-01-01
2007_001_222,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,222,OLY,P000126,JACKSON_ MARC,FTM,Free Throw In,1,-1,-1,,None,None,None,14,06:00,40,27,1970-01-01
2007_001_225,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,225,BAS,PJTT,MCDONALD_ WILL,2FGAB,Missed Two Pointer,0,30,53,C,None,None,None,14,06:00,40,27,1970-01-01
2007_001_236,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,236,OLY,PCRR,GREER_ LYNN TERENCE,2FGM,Two Pointer,2,-12,48,D,None,None,None,15,05:00,42,27,1970-01-01
2007_001_238,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,238,BAS,PCBX,PRIGIONI_ PABLO,3FGA,Missed Three Pointer,0,-594,335,F,None,None,None,15,05:00,42,27,1970-01-01
2007_001_240,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,240,BAS,PJZJ,TELETOVIC_ MIRZA,3FGA,Missed Three Pointer,0,-664,156,F,None,None,None,15,05:00,42,27,1970-01-01
2007_001_242,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,242,OLY,P000126,JACKSON_ MARC,2FGM,Two Pointer,2,-2,135,D,None,None,None,15,05:00,44,27,1970-01-01
2007_001_243,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,243,BAS,PAFP,PLANINIC_ ZORAN,2FGA,Missed Two Pointer,0,2,46,D,None,None,None,15,05:00,44,27,1970-01-01
2007_001_248,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,248,BAS,PANB,RAKOCEVIC_ IGOR,2FGA,Missed Two Pointer,0,-102,107,D,None,None,None,16,04:00,44,27,1970-01-01
2007_001_250,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,250,BAS,PJZJ,TELETOVIC_ MIRZA,2FGA,Missed Two Pointer,0,7,41,C,None,None,None,16,04:00,44,27,1970-01-01
2007_001_252,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,252,BAS,PJZJ,TELETOVIC_ MIRZA,2FGM,Two Pointer,2,12,2,C,None,None,None,16,04:00,44,29,1970-01-01
2007_001_255,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,255,OLY,PCRR,GREER_ LYNN TERENCE,FTM,Free Throw In,1,-1,-1,,None,None,None,16,04:00,45,29,1970-01-01
2007_001_256,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,256,OLY,PCRR,GREER_ LYNN TERENCE,FTM,Free Throw In,1,-1,-1,,None,None,None,16,04:00,46,29,1970-01-01
2007_001_257,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,257,BAS,PCBY,SPLITTER_ TIAGO,2FGM,Two Pointer,2,-56,82,D,None,None,None,16,04:00,46,31,1970-01-01
2007_001_260,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,260,OLY,PCBV,MACIJAUSKAS_ ARVYDAS,2FGA,Missed Two Pointer,0,-23,356,D,None,None,None,17,03:00,46,31,1970-01-01
2007_001_262,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,262,BAS,PAFP,PLANINIC_ ZORAN,3FGA,Missed Three Pointer,0,-251,633,J,None,None,None,17,03:00,46,31,1970-01-01
2007_001_265,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,265,BAS,PCBY,SPLITTER_ TIAGO,2FGA,Missed Two Pointer,0,-15,448,I,None,None,None,17,03:00,46,31,1970-01-01
2007_001_270,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,270,BAS,PANB,RAKOCEVIC_ IGOR,3FGM,Three Pointer,3,338,571,G,None,None,None,17,03:00,46,34,1970-01-01
2007_001_273,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,273,OLY,P000126,JACKSON_ MARC,2FGM,Two Pointer,2,-25,458,I,None,None,None,18,02:00,48,34,1970-01-01
2007_001_274,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,274,BAS,PCBX,PRIGIONI_ PABLO,3FGM,Three Pointer,3,576,402,A,None,None,None,18,02:00,48,37,1970-01-01
2007_001_276,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,276,OLY,PCRR,GREER_ LYNN TERENCE,3FGM,Three Pointer,3,-266,669,J,None,None,None,18,02:00,51,37,1970-01-01
2007_001_277,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,277,BAS,PAFP,PLANINIC_ ZORAN,2FGAB,Missed Two Pointer,0,0,92,D,None,None,None,18,02:00,51,37,1970-01-01
2007_001_286,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,286,BAS,PCBX,PRIGIONI_ PABLO,3FGA,Missed Three Pointer,0,658,64,A,None,None,None,19,01:00,51,37,1970-01-01
2007_001_288,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,288,OLY,PJDR,TEODOSIC_ MILOS,3FGA,Missed Three Pointer,0,292,643,G,None,None,None,19,01:00,51,37,1970-01-01
2007_001_291,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,291,BAS,PCBX,PRIGIONI_ PABLO,3FGA,Missed Three Pointer,0,356,258,B,None,None,None,19,01:00,51,37,1970-01-01
2007_001_294,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,294,OLY,PJDR,TEODOSIC_ MILOS,2FGM,Two Pointer,2,10,125,C,None,None,None,20,00:00,53,37,1970-01-01
2007_001_301,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,301,OLY,PCBV,MACIJAUSKAS_ ARVYDAS,FTM,Free Throw In,1,-1,-1,,None,None,None,20,00:00,54,37,1970-01-01
2007_001_302,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,302,OLY,PCBV,MACIJAUSKAS_ ARVYDAS,FTM,Free Throw In,1,-1,-1,,None,None,None,20,00:00,55,37,1970-01-01
2007_001_305,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,305,OLY,PCRR,GREER_ LYNN TERENCE,2FGA,Missed Two Pointer,0,-38,51,D,None,None,None,20,00:00,55,37,1970-01-01
2007_001_307,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,307,BAS,PAFP,PLANINIC_ ZORAN,2FGA,Missed Two Pointer,0,-5,48,D,None,None,None,20,00:00,55,37,1970-01-01
2007_001_318,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,318,OLY,PCRR,GREER_ LYNN TERENCE,2FGA,Missed Two Pointer,0,2,79,D,None,None,None,20,00:00,55,37,1970-01-01
2007_001_334,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,334,OLY,P000126,JACKSON_ MARC,3FGM,Three Pointer,3,-51,702,J,None,None,None,21,09:00,58,37,1970-01-01
2007_001_336,2007_001,OLY-BAS,1,REGULAR SEASON,E2007,336,BAS,PCBX,PRIGIONI_ PABLO,3FGA,Missed Three Pointer,0,-292,638,J,None,None,None,21,09:00,58,37,1970-01-01
